word,accent,gram,infltype,label,forms
приехать,4,"свнп@а:_буд._приЕду,-ет;_повел.нет_,#18;_прош._приЕхал,-а$приезжать",,,
проехать,4,"свнп@а:_буд._проЕду,-ет;_повел.нет_,#18;_прош._проЕхал,-а$проезжать",,,
съехать,3,"свнп@а:_буд._съЕду,-ет;_повел.нет_,#18;_прош._съЕхал,-а$съезжАть",,,
уехать,2,"свнп@а:_буд._уЕду,-ет;_повел.нет_,#18;_прош._уЕхал,-а$уезжАть",,,
съехаться,3,"св@а,_повел.нет_,#18@_буд._съЕдусь,-ется$съезжАться",,,
поразъехаться,7,"св@а,_повел.нет_@_буд._поразъЕдусь,-ется",,,
проехаться,4,"св@а,_повел.нет_,#18@_буд._проЕдусь,-ется$проезжаться",,,
разъехаться,5,"св@а,_повел.нет_,#18@_буд._разъЕдусь,-ется$разъезжАться",,,
вшибить,5,"св@в:_буд._вшибУ,-ёт;_прош._вшИб,-ла,-Ивший;_прич.страд._вшИбленный$II",,,
вышибить,2,"св@а:_буд._вЫшибу,-ет;_повел._-и;_прош._вЫшиб,-ла,-Ивший;_прич.страд._вЫшибленный$II",,,
дошибить,6,"св@в:_буд._дошибУ,-ёт;_прош._дошИб,-ла,-Ивший;_прич.страд._дошИбленный$II",,,
